 * Serving Flask app "cartos.py"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5002/ (Press CTRL+C to quit)
172.20.67.27 - - [19/Jun/2021 14:14:07] "GET /apidocs/ HTTP/1.1" 200 -
172.20.67.27 - - [19/Jun/2021 14:14:07] "GET /flasgger_static/favicon-32x32.png HTTP/1.1" 200 -
172.20.67.27 - - [19/Jun/2021 14:14:07] "GET /apispec_1.json HTTP/1.1" 200 -
172.20.67.27 - - [19/Jun/2021 14:14:54] "GET /apispec_1.json HTTP/1.1" 200 -
172.20.67.27 - - [19/Jun/2021 14:15:49] "POST /login HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 14:16:03] "OPTIONS /users/active?nome=teste HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 14:16:03] "OPTIONS /users/foto/teste HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 14:16:03] "OPTIONS /users/foto/teste HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 14:16:03] "GET /users/active?nome=teste HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 14:16:05] "GET /users/active?nome=teste HTTP/1.1" 200 -
172.20.67.28 - - [19/Jun/2021 14:27:25] "GET /apidocs/ HTTP/1.1" 200 -
172.20.67.28 - - [19/Jun/2021 14:27:25] "GET /apispec_1.json HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:03:38] "GET /elementos/editoras HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:03:38] "GET /elementos/colecoes HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:03:46] "POST /login HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:03:46] "GET /users/foto/jna HTTP/1.1" 304 -
127.0.0.1 - - [19/Jun/2021 15:03:46] "GET /home/index HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:03:47] "GET /elementos/ver/RPT017/foto HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:03:47] "GET /elementos/ver/RPT019/foto HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:03:47] "GET /elementos/ver/RPT018/foto HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:03:47] "GET /elementos/ver/RPT015/foto HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:03:47] "GET /elementos/ver/RPT016/foto HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:03:47] "GET /elementos/ver/RPT014/foto HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:03:54] "GET /home/index HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:04:20] "GET /elementos/elementos?nome=jna HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:04:24] "GET /elementos/ver/RPT001/foto HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:04:24] "GET /elementos/ver/RPT001/video HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:04:24] "GET /elementos/ver/RPT001/ficheiro HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:04:24] "GET /elementos/editoras HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:04:24] "GET /elementos/ver/RPT001/video HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:04:24] "GET /elementos/ver/RPT001/video HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:04:24] "GET /elementos/ver/RPT001/video HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:04:24] "GET /elementos/linguas HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:04:24] "GET /elementos/colecoes HTTP/1.1" 200 -
