 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [22/Nov/2020 19:16:43] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:16:43] "GET /users/foto/tfraga HTTP/1.1" 304 -
127.0.0.1 - - [22/Nov/2020 19:16:43] "GET /users/foto/tfraga?seed=1606072603089 HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:16:43] "GET /tagging/folio/foliosAnotados HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:16:43] "GET /tagging/folio/foliosAtualizados HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:16:47] "POST /tagging/submeterFolio HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:16:48] "GET /users/foto/tfraga?seed=1606072608178 HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:16:53] "POST /tagging/folio/guardar HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:16:53] "GET /users/foto/tfraga?seed=1606072613204 HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:16:53] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:16:53] "GET /tagging/folio/foliosAnotados HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:16:53] "GET /tagging/folio/foliosAtualizados HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:01] "POST /tagging/submeterFolio HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:02] "GET /users/foto/tfraga?seed=1606072622020 HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:04] "POST /tagging/folio/guardar HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:04] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:04] "GET /users/foto/tfraga?seed=1606072624614 HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:04] "GET /tagging/folio/foliosAnotados HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:05] "GET /tagging/folio/foliosAtualizados HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:08] "GET /users/foto/tfraga?seed=1606072628719 HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:08] "GET /folios/tags?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:11] "GET /tagging/tagsAtivas HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:11] "GET /users/foto/tfraga?seed=1606072631514 HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:11] "GET /tagging/tagsAtivas HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:14] "GET /tagging/infoTag/cargo HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:20] "GET /tagging/regras HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:20] "GET /users/foto/tfraga?seed=1606072639887 HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:40] "POST /tagging/regras/adiciona HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:17:40] "GET /tagging/regras HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:01] "POST /tagging/regras/adiciona HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:01] "GET /tagging/regras HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:04] "POST /tagging/regras/remove HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:04] "GET /tagging/regras HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:07] "POST /tagging/regras/remove HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:07] "GET /tagging/regras HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:17] "GET /users/foto/tfraga?seed=1606072697721 HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:22] "GET /tagging/tagsAtivas HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:22] "GET /users/foto/tfraga?seed=1606072701933 HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:22] "GET /tagging/tagsAtivas HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:34] "GET /users/foto/tfraga?seed=1606072714156 HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:34] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:48] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:48] "GET /users/foto/tfraga?seed=1606072728007 HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:48] "GET /tagging/folio/foliosAnotados HTTP/1.1" 200 -
127.0.0.1 - - [22/Nov/2020 19:18:48] "GET /tagging/folio/foliosAtualizados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:21:44] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:21:48] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:31:01] "GET /analise/pesquisa?pesquisa=braga&selectedFolio=Todos&tipo=texto&versao=todas&resultado=periodo HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:31:05] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:31:15] "GET /analise/pesquisa?pesquisa=Braga&selectedFolio=Todos&tipo=texto&versao=todas&resultado=periodo HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:31:26] "GET /analise/folio/TM-F0159 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:31:58] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:37:39] "POST /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:37:39] "GET /users/users?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:37:39] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:37:39] "GET /users/foto/tfraga?seed=1606156659088 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:37:39] "GET /users/foto/tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:37:39] "GET /folios/tags?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:37:39] "GET /folios/index?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:38:27] "GET /users/foto/tfraga?seed=1606156707256 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:38:27] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:38:27] "GET /tagging/folio/foliosAnotados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:38:28] "GET /tagging/folio/foliosAtualizados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:40:38] "POST /tagging/submeterFolio HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:40:39] "GET /users/foto/tfraga?seed=1606156838841 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:43:38] "POST /tagging/folio/guardar HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:43:38] "GET /users/foto/tfraga?seed=1606157018418 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:43:38] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:43:38] "GET /tagging/folio/foliosAnotados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:43:39] "GET /tagging/folio/foliosAtualizados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:43:55] "GET /tagging/atualizarFolio/TM-F0001 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:43:55] "GET /users/foto/tfraga?seed=1606157035084 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:44:37] "GET /users/foto/tfraga?seed=1606157076701 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:44:37] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:44:37] "GET /tagging/folio/foliosAnotados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:44:37] "GET /tagging/folio/foliosAtualizados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:44:38] "GET /tagging/folio/foliosAnotados/TM-F0001 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:44:38] "GET /users/foto/tfraga?seed=1606157078715 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:12] "GET /users/foto/tfraga?seed=1606157112059 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:12] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:12] "GET /tagging/folio/foliosAnotados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:12] "GET /tagging/folio/foliosAtualizados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:14] "GET /users/foto/tfraga?seed=1606157114136 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:14] "GET /tagging/folio/foliosAtualizados/TM-F0001 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:21] "GET /users/foto/tfraga?seed=1606157121563 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:21] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:22] "GET /tagging/folio/foliosAnotados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:22] "GET /tagging/folio/foliosAtualizados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:34] "GET /users/foto/tfraga?seed=1606157133914 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:34] "GET /folios/tags?nome=tfraga HTTP/1.1" 200 -
